order,domain,arm,channel,dice_percent
0,REFUGE_Valid,KDG,macro,68.86318439178123
0,REFUGE_Valid,K_ALL,OD,78.14060674999371
0,REFUGE_Valid,K_ALL,OC,59.46034522810759
0,REFUGE_Valid,K_ALL,macro,68.80047598905065
0,REFUGE_Valid,K_MAG,OD,78.42277991258335
0,REFUGE_Valid,K_MAG,OC,59.72064848552233
0,REFUGE_Valid,K_MAG,macro,69.07171419905285
0,REFUGE_Valid,K_FREE,OD,78.55737630014431
0,REFUGE_Valid,K_FREE,OC,59.68177038565249
0,REFUGE_Valid,K_FREE,macro,69.1195733428984
0,REFUGE_Valid,G_BOUND,OD,78.40255452273053
0,REFUGE_Valid,G_BOUND,OC,60.38961312674171
0,REFUGE_Valid,G_BOUND,macro,69.39608382473611
0,REFUGE_Valid,G_CONST,OD,78.52976552586537
0,REFUGE_Valid,G_CONST,OC,60.35186409669758
0,REFUGE_Valid,G_CONST,macro,69.44081481128148
0,REFUGE_Valid,G_SHUFFLE,OD,78.54896240638777
0,REFUGE_Valid,G_SHUFFLE,OC,60.35824916366623
0,REFUGE_Valid,G_SHUFFLE,macro,69.45360578502701
0,REFUGE_Valid,G_GLOBAL,OD,78.58293402299553
0,REFUGE_Valid,G_GLOBAL,OC,60.507107354431966
0,REFUGE_Valid,G_GLOBAL,macro,69.54502068871375
0,Drishti_GS,C,OD,92.94947586476542
0,Drishti_GS,C,OC,69.36867603266047
0,Drishti_GS,C,macro,81.15907594871295
0,Drishti_GS,RP,OD,93.18712377083344
0,Drishti_GS,RP,OC,71.52391085469023
0,Drishti_GS,RP,macro,82.35551731276183
0,Drishti_GS,MT,OD,89.48128817544338
0,Drishti_GS,MT,OC,66.05922825804372
0,Drishti_GS,MT,macro,77.77025821674356
0,Drishti_GS,MT_RP,OD,89.68320099087536
0,Drishti_GS,MT_RP,OC,68.59808884849647
0,Drishti_GS,MT_RP,macro,79.14064491968593
0,Drishti_GS,FT,OD,84.56287058367522
0,Drishti_GS,FT,OC,58.5463173449951
0,Drishti_GS,FT,macro,71.55459396433518
0,Drishti_GS,FT_RP,OD,84.87171804053649
0,Drishti_GS,FT_RP,OC,61.2630171984096
0,Drishti_GS,FT_RP,macro,73.06736761947306
0,Drishti_GS,KDG,OD,93.10485242208773
0,Drishti_GS,KDG,OC,69.90397708511078
0,Drishti_GS,KDG,macro,81.50441475359926
0,Drishti_GS,K_ALL,OD,93.15981068110645
0,Drishti_GS,K_ALL,OC,69.78487743224831
0,Drishti_GS,K_ALL,macro,81.47234405667737
0,Drishti_GS,K_MAG,OD,92.93626802024475
0,Drishti_GS,K_MAG,OC,69.37647784193078
0,Drishti_GS,K_MAG,macro,81.15637293108777
0,Drishti_GS,K_FREE,OD,92.8856746886348
0,Drishti_GS,K_FREE,OC,69.69649914804162
0,Drishti_GS,K_FREE,macro,81.29108691833821
0,Drishti_GS,G_BOUND,OD,92.77027203735666
0,Drishti_GS,G_BOUND,OC,68.03668887140222
0,Drishti_GS,G_BOUND,macro,80.40348045437943
0,Drishti_GS,G_CONST,OD,92.65351449272768
0,Drishti_GS,G_CONST,OC,68.12618136480367
0,Drishti_GS,G_CONST,macro,80.38984792876568
0,Drishti_GS,G_SHUFFLE,OD,92.64749981341126
0,Drishti_GS,G_SHUFFLE,OC,68.13050527550423
0,Drishti_GS,G_SHUFFLE,macro,80.38900254445775
0,Drishti_GS,G_GLOBAL,OD,92.65585544859282
0,Drishti_GS,G_GLOBAL,OC,67.92501265542377
0,Drishti_GS,G_GLOBAL,macro,80.2904340520083
1,REFUGE,C,OD,91.04440483046776
1,REFUGE,C,OC,81.06637633862896
1,REFUGE,C,macro,86.05539058454835
1,REFUGE,RP,OD,91.0006191823699
1,REFUGE,RP,OC,80.00194225689964
1,REFUGE,RP,macro,85.50128071963476
1,REFUGE,MT,OD,91.30374978776459
1,REFUGE,MT,OC,82.61667093701698
1,REFUGE,MT,macro,86.96021036239078
1,REFUGE,MT_RP,OD,91.38606632181583
1,REFUGE,MT_RP,OC,82.01237110672136
1,REFUGE,MT_RP,macro,86.69921871426861
1,REFUGE,FT,OD,88.68413948033921
1,REFUGE,FT,OC,82.757748517372
1,REFUGE,FT,macro,85.72094399885562
1,REFUGE,FT_RP,OD,88.75972032713867
1,REFUGE,FT_RP,OC,82.9689379266407
1,REFUGE,FT_RP,macro,85.86432912688969
1,REFUGE,KDG,OD,90.9136752982334
1,REFUGE,KDG,OC,80.76422203035052
1,REFUGE,KDG,macro,85.83894866429198
