order,subset,arm,OD,OC,macro
0,all_dev,G_CONST,87.0395883035729,71.2081788519192,79.12388357774604
0,all_dev,G_SHUFFLE,87.04355022838047,71.21126027553713,79.1274052519588
0,all_dev,G_GLOBAL,87.07123668710248,71.1716939801779,79.12146533364019
1,remaining_dev,C,86.83668941647338,69.17600665280742,78.00634803464041
1,remaining_dev,RP,86.74998277539126,68.9931344092129,77.87155859230208
1,remaining_dev,MT,86.76809705270222,69.2399936623218,78.00404535751201
1,remaining_dev,MT_RP,86.74289103046915,69.20663550924829,77.97476326985873
1,remaining_dev,FT,85.33391581316899,68.49818594613579,76.91605087965239
1,remaining_dev,FT_RP,85.32752538059378,68.70048020471123,77.0140027926525
1,remaining_dev,KDG,86.84317835342452,69.12458336577232,77.98388085959843
1,remaining_dev,K_ALL,86.84927503172183,69.15574620134716,78.0025106165345
1,remaining_dev,K_MAG,86.83252956780767,69.17329526683939,78.00291241732353
1,remaining_dev,K_FREE,86.84934672082073,69.1908734903099,78.02011010556532
1,remaining_dev,G_BOUND,86.82959832429069,69.23131160169697,78.03045496299383
1,remaining_dev,G_CONST,86.76796200912325,69.19709144878834,77.9825267289558
1,remaining_dev,G_SHUFFLE,86.77510011080625,69.20291738914555,77.98900874997591
1,remaining_dev,G_GLOBAL,86.85556907448813,69.24776878544533,78.05166892996672
1,legacy_dev,C,86.28510018812173,69.55357566299936,77.91933792556054
1,legacy_dev,RP,86.19397987699207,69.34929268559947,77.77163628129577
1,legacy_dev,MT,86.2252118372557,69.71320165714828,77.969206747202
1,legacy_dev,MT_RP,86.19375831495242,69.65505285551737,77.9244055852349
1,legacy_dev,FT,84.82767110255553,69.21691700297384,77.02229405276468
1,legacy_dev,FT_RP,84.81990865986133,69.4123818439887,77.11614525192502
1,legacy_dev,KDG,86.30958187988173,69.50899341547432,77.90928764767803
1,legacy_dev,K_ALL,86.32033016331474,69.54307100720996,77.93170058526235
1,legacy_dev,K_MAG,86.2802748895369,69.55518569689427,77.91773029321558
1,legacy_dev,K_FREE,86.3087188090639,69.57151533786188,77.94011707346289
1,legacy_dev,G_BOUND,86.26118744148083,69.60880476574533,77.93499610361307
1,legacy_dev,G_CONST,86.2020030335914,69.57756477062517,77.88978390210828
1,legacy_dev,G_SHUFFLE,86.21081098685546,69.58624642376488,77.89852870531017
1,legacy_dev,G_GLOBAL,86.28943087214373,69.62881331963334,77.95912209588853
1,p1_extension_dev,C,87.16582690388914,69.93768851005623,78.55175770697268
1,p1_extension_dev,RP,87.0727290422412,69.91184973288267,78.49228938756193
1,p1_extension_dev,MT,86.88984292250481,69.70643791215281,78.29814041732881
1,p1_extension_dev,MT_RP,86.86858135861921,69.79389683790755,78.33123909826338
1,p1_extension_dev,FT,85.31644280894976,68.73887028047837,77.02765654471406
1,p1_extension_dev,FT_RP,85.30943178817283,68.99485575811454,77.15214377314369
1,p1_extension_dev,KDG,87.19057376439122,69.94130851401057,78.5659411392009
1,p1_extension_dev,K_ALL,87.20160809937067,69.9765529103772,78.58908050487393
1,p1_extension_dev,K_MAG,87.16113379651476,69.93463228181467,78.54788303916472
1,p1_extension_dev,K_FREE,87.17311109775605,69.95388680454178,78.56349895114892
1,p1_extension_dev,G_BOUND,87.1342952238553,69.92617918885333,78.53023720635431
1,p1_extension_dev,G_CONST,87.07648956388923,69.88563253517644,78.48106104953284
1,p1_extension_dev,G_SHUFFLE,87.08347498014066,69.89233151952418,78.48790324983241
1,p1_extension_dev,G_GLOBAL,87.1503988936642,69.93331433711398,78.5418566153891
1,all_dev,C,86.86237396183387,69.61992129486642,78.24114762835015
1,all_dev,RP,86.77538727882532,69.44878530506931,78.1120862919473
1,all_dev,MT,86.7849890486626,69.66778947108017,78.22638925987138
1,all_dev,MT_RP,86.75964901658932,69.64344953449077,78.20154927554005
1,all_dev,FT,85.34072662174313,68.91958079833014,77.13015371003664
1,all_dev,FT_RP,85.33409542809089,69.12545657097446,77.22977599953268
1,all_dev,KDG,86.87105854283507,69.57251392865577,78.22178623574543
1,all_dev,K_ALL,86.87786664138045,69.60432612910392,78.24109638524219
1,all_dev,K_MAG,86.85829673981782,69.61738995231418,78.23784334606601
1,all_dev,K_FREE,86.87565710436334,69.6347956452105,78.25522637478693
1,all_dev,G_BOUND,86.8531920454746,69.67045572484818,78.26182388516139
1,all_dev,G_CONST,86.79317070429454,69.63729395137075,78.21523232783265
1,all_dev,G_SHUFFLE,86.80034176114738,69.64322178367668,78.22178177241204
1,all_dev,G_GLOBAL,86.87905239252507,69.68686611472113,78.28295925362309
2,remaining_dev,C,86.51297275222866,69.50281985947278,78.00789630585072
2,remaining_dev,RP,86.42788259374913,69.5092393542546,77.96856097400186
2,remaining_dev,MT,85.98829578282084,69.05542991272466,77.52186284777275
