order,scope,pair,channel,n,mean,median,p10,p90,positive,zero,negative,minimum,worst_decile_mean,tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
1,ORIGA,KDG-K_MAG,macro,586,0.13040344880385724,0.13677810151120906,-0.2734675713841894,0.5113567795959562,392,0,194,-0.670972996896857,-0.42390766480652703,59,,,,,,,
1,ORIGA,KDG-K_FREE,OD,586,0.09731560301380916,0.09679626392382068,-0.1568453468932196,0.38414318810769954,398,0,188,-0.48028689537065183,-0.24767594109353633,59,586,0,0,0,-0.07927191750529262,-0.0546087472541712,0.3632754076359183
1,ORIGA,KDG-K_FREE,OC,586,0.008688277107313762,0.007206602754905589,-0.4828113131297884,0.4698317105033073,298,1,287,-1.5182126866084167,-0.6914041910134888,59,586,0,0,0,0.011040495165153217,0.024089315141971213,0.5357502319496988
1,ORIGA,KDG-K_FREE,macro,586,0.05300194006056181,0.053311927449212204,-0.2813377059334987,0.3601377151446816,349,0,237,-0.8508763039347,-0.3997647295430405,59,,,,,,,
1,ORIGA,G_BOUND-G_CONST,OD,586,0.03456064838956596,0.027372783386597765,-0.060411177204794386,0.12928285002435924,394,0,192,-0.199063080848505,-0.10183668349077771,59,586,0,0,0,-0.05762262193809801,-0.03927502349011647,0.14927860173575375
1,ORIGA,G_BOUND-G_CONST,OC,586,0.05773188617623061,0.051376000132338784,-0.08997726227108482,0.2061856562246056,402,2,182,-0.3495331460609097,-0.14728348599872063,59,586,0,0,0,-0.03719542867326589,-0.021471467562737878,0.14309362459253336
1,ORIGA,G_BOUND-G_CONST,macro,586,0.0461462672828984,0.040063268038992295,-0.051571606192496455,0.15134417190258986,428,0,158,-0.18461735319387218,-0.08590813291974668,59,,,,,,,
1,ORIGA,G_BOUND-G_SHUFFLE,OD,586,0.028450628411985986,0.024102171294643204,-0.057231997103984744,0.12034353184683377,380,0,206,-0.17534582230066542,-0.09671781249776233,59,586,0,0,0,-0.04748198421330069,-0.032254568579988874,0.1443222760410272
1,ORIGA,G_BOUND-G_SHUFFLE,OC,586,0.03657803120792066,0.029981154844688218,-0.0957806208188805,0.1744535129607136,371,0,215,-0.5113997889213628,-0.15622188323447453,59,586,0,0,0,-0.02771454724167837,-0.015400913283412532,0.15288637173031663
1,ORIGA,G_BOUND-G_SHUFFLE,macro,586,0.03251432980995316,0.028174455438045864,-0.05822895265764072,0.12330962094759257,384,0,202,-0.25963248387392834,-0.09257492333649323,59,,,,,,,
1,ORIGA,G_BOUND-G_GLOBAL,OD,586,0.019357209616591695,0.022596771127147974,-0.08797679140405967,0.12050420118390748,361,0,225,-0.22854407490601192,-0.13418678077822774,59,586,0,0,0,-0.003108935037794829,-0.007448465701818563,0.26175544158593744
