job,arm,order,records,worker_seconds,host_seconds,pipeline_seconds,peak_allocated_bytes,network_forwards,loss_backward_calls,adam_calls,jacobian_vjp_calls,actual_parameter_replacements
o3a10,G_BOUND,3,1951,1458.4581178149674,1204.0247355084866,1439.1761390496977,579830272,15608,1951,1951,0,0
o3a12,G_SHUFFLE,3,1951,1656.8484546230175,1402.6076321329456,1638.057575324783,579830272,15608,1951,1951,0,0
o4a1,RP,4,1951,1325.57898108894,1135.4413450320717,1320.8706522707362,667991040,15608,1951,1951,0,0
o3a13,G_GLOBAL,3,1951,1517.8914527909365,1261.0352925579064,1497.514760094462,579830272,15608,1951,1951,0,0
o4a4,FT,4,1951,1362.869362300029,1166.547011010116,1348.329851547256,670779904,15608,1951,1951,0,0
o4a2,MT,4,1951,1303.1757904498372,1106.0618453940842,1288.5263469619676,670779904,15608,1951,1951,0,0
o4a0,C,4,1951,1294.3030887830537,1103.9015792452265,1289.674685133621,615037952,15608,1951,1951,0,0
o4a5,FT_RP,4,1951,1433.9062766190618,1235.429576210212,1420.1214333779644,723339776,17559,1951,1951,0,0
o4a7,K_ALL,4,1951,2434.937225783011,2238.8871278970037,2419.999662799295,598418944,15608,1951,1951,0,0
o4a3,MT_RP,4,1951,2558.636562220985,2357.8107763964217,2544.880560078658,723339776,17559,1951,1951,0,0
o4a8,K_MAG,4,1951,1328.247195557924,1132.7754245835822,1313.2210520298686,588663296,15608,1951,1951,0,0
o4a10,G_BOUND,4,1951,2555.158397923922,2302.909891740186,2533.9160944183823,579830272,15608,1951,1951,0,0
o4a11,G_CONST,4,1951,1588.0306326327845,1334.6737403501756,1566.4710666958708,579830272,15608,1951,1951,0,0
o4a6,KDG,4,1951,2418.4871624340303,2225.680041555781,2403.0539050980005,597342720,15608,1951,1951,0,0
o4a13,G_GLOBAL,4,1951,2411.218984987121,2157.0645188603085,2391.4267661171034,579830272,15608,1951,1951,0,0
o4a9,K_FREE,4,1951,2340.4120325960685,2146.328068730887,2325.2525594853796,588678144,15608,1951,1951,0,0
o4a12,G_SHUFFLE,4,1951,1659.4644092228264,1408.0834485543892,1638.8804396870546,579830272,15608,1951,1951,0,0
