job,arm,order,records,worker_seconds,host_seconds,pipeline_seconds,peak_allocated_bytes,peak_bank_state_bytes,peak_context_tensor_bytes,peak_slots,context_created,context_switches,context_overflows,context_load_seconds,network_forwards,loss_backward_calls,jacobian_vjp_calls,adam_calls,actual_parameter_replacements
o1a7,U_SCALE,1,1951,1565.1798217589967,1413.4187056145165,1561.3655382096767,832226304,77056,0,0,0,0,0,0.0,15608,1951,15462,1951,1935
o1a8,S_JOINT,1,1951,1423.4367235070094,1270.639450063929,1419.4987466032617,723890688,77056,999128,3,3,84,3,2.383721788879484,17559,1951,0,1951,85
o1a10,S_NOPCA,1,1951,1403.3931837989949,1250.4970114007592,1399.3936511690263,673297920,77056,999128,3,3,84,3,2.6442309063859284,17559,1951,0,1951,85
o1a9,S_SHARED,1,1951,1414.8377545450348,1262.820554309059,1410.6740776910447,723890688,77056,309248,3,3,84,3,0.4571534004062414,17559,1951,0,1951,0
o1a12,M_IDPOST,1,1951,1294.2189334190916,1140.3494624292944,1290.4014817262068,632860160,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a11,M_TRANSPORT,1,1951,1302.837093676906,1149.2978514959104,1298.8241804502904,632991232,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a14,G_PCA,1,1951,1376.5514881049749,1223.394930909155,1372.6782510557678,584364544,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a13,M_SHUFFLE,1,1951,1327.1563531230204,1172.8575292939786,1323.3763829427771,632860160,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a16,G_ORDER,1,1951,1280.748256788822,1129.0894510375801,1276.89417114947,584364544,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a15,G_ISO,1,1951,1347.1198588339612,1194.5779443783686,1343.2239178980235,584364544,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o2a1,RP,2,1951,1283.5036890709307,1130.2251995557453,1279.020249716239,667991040,0,0,0,0,0,0,0.0,15608,1951,0,1951,0
o2a0,C,2,1951,1264.900829410879,1112.2077656483743,1260.6089898827486,617135104,0,0,0,0,0,0,0.0,15608,1951,0,1951,0
o2a3,T_ISO,2,1951,1336.8758487768937,1184.805401862599,1332.766436839942,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o2a2,T_LR,2,1951,1373.17294725799,1220.0574892505538,1369.1637944991235,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
