order,subset,domain,arm,n,OD,OC,macro
1,all_dev,REFUGE,C_PER256,400,87.5865064352176,83.08489241561367,85.33569942541563
1,all_dev,REFUGE,C_SENS,400,91.04769007790212,81.02371006926394,86.03570007358303
1,all_dev,REFUGE,C_PCA_GLOBAL,400,90.97510537435818,80.95469641695354,85.96490089565584
1,all_dev,REFUGE,C_PCA_SHUFFLED,400,90.97505322682908,80.96438836952508,85.96972079817708
1,all_dev,REFUGE,C_PCA_REGION,400,91.00368665487072,80.01471642130149,85.5092015380861
1,all_dev,ORIGA,C,650,87.77018007125707,69.8585514145443,78.8143657429007
1,all_dev,ORIGA,C_PER256,650,80.92165763964702,63.5288608522869,72.22525924596695
1,all_dev,ORIGA,C_SENS,650,87.77018007125707,69.8585514145443,78.8143657429007
1,all_dev,ORIGA,C_PCA_GLOBAL,650,87.7333594457147,69.56890472596878,78.65113208584174
1,all_dev,ORIGA,C_PCA_SHUFFLED,650,87.72762818690374,69.55663347751958,78.64213083221168
1,all_dev,ORIGA,C_PCA_REGION,650,87.7101560141272,70.55117306139445,79.13066453776082
1,all_dev,REFUGE_Valid,C,800,82.50001746491212,64.46882522891676,73.48442134691444
1,all_dev,REFUGE_Valid,C_PER256,800,86.0632136327355,66.35018243695978,76.20669803484765
1,all_dev,REFUGE_Valid,C_SENS,800,82.50001746491212,64.46882522891676,73.48442134691444
1,all_dev,REFUGE_Valid,C_PCA_GLOBAL,800,82.26360559637176,64.42171722995096,73.34266141316135
1,all_dev,REFUGE_Valid,C_PCA_SHUFFLED,800,82.24413673451863,64.41694349645904,73.33054011548883
1,all_dev,REFUGE_Valid,C_PCA_REGION,800,82.25902217905649,64.08743304104293,73.1732276100497
1,all_dev,Drishti_GS,C,101,86.13160823326413,63.12859846674065,74.63010335000239
1,all_dev,Drishti_GS,C_PER256,101,86.13160823326413,63.12859846674065,74.63010335000239
1,all_dev,Drishti_GS,C_SENS,101,86.13160823326413,63.12859846674065,74.63010335000239
1,all_dev,Drishti_GS,C_PCA_GLOBAL,101,86.13925084463597,63.12209102977636,74.63067093720615
1,all_dev,Drishti_GS,C_PCA_SHUFFLED,101,86.13879130184719,63.12108869731812,74.62993999958266
1,all_dev,Drishti_GS,C_PCA_REGION,101,86.12868426724685,63.14181869653836,74.6352514818926
2,remaining_dev,REFUGE,C,336,90.2345238753077,83.04122096043173,86.63787241786973
2,remaining_dev,REFUGE,C_PER256,336,87.71129232813198,83.08697131119978,85.39913181966588
2,remaining_dev,REFUGE,C_SENS,336,90.2345238753077,83.04122096043173,86.63787241786973
2,remaining_dev,REFUGE,C_PCA_GLOBAL,336,90.30006865799126,83.00841331518893,86.6542409865901
2,remaining_dev,REFUGE,C_PCA_SHUFFLED,336,90.29866102648364,83.0098229020465,86.65424196426507
2,remaining_dev,REFUGE,C_PCA_REGION,336,90.21550057935158,82.90629091142041,86.560895745386
2,remaining_dev,ORIGA,C,586,85.161810995662,68.6191522319363,76.89048161379914
2,remaining_dev,ORIGA,C_PER256,586,81.68985947792203,64.80723109238275,73.24854528515239
2,remaining_dev,ORIGA,C_SENS,586,85.161810995662,68.6191522319363,76.89048161379914
2,remaining_dev,ORIGA,C_PCA_GLOBAL,586,85.19619391401342,68.62401485793755,76.9101043859755
2,remaining_dev,ORIGA,C_PCA_SHUFFLED,586,85.19934926757257,68.62451461359434,76.91193194058346
2,remaining_dev,ORIGA,C_PCA_REGION,586,85.18198835142033,68.78180644676769,76.981897399094
2,remaining_dev,REFUGE_Valid,C,736,80.88075744280204,61.94284163547999,71.41179953914101
2,remaining_dev,REFUGE_Valid,C_PER256,736,86.02488304363978,66.2820840298647,76.15348353675223
2,remaining_dev,REFUGE_Valid,C_SENS,736,80.88075744280204,61.94284163547999,71.41179953914101
2,remaining_dev,REFUGE_Valid,C_PCA_GLOBAL,736,80.41191258471201,61.76415618740427,71.08803438605814
2,remaining_dev,REFUGE_Valid,C_PCA_SHUFFLED,736,80.42153402232415,61.7830408558625,71.10228743909333
2,remaining_dev,REFUGE_Valid,C_PCA_REGION,736,80.56559914456669,61.1380835772913,70.85184136092899
2,remaining_dev,Drishti_GS,C,37,89.77479869514293,64.4080646100431,77.09143165259302
2,remaining_dev,Drishti_GS,C_PER256,37,87.12078138651887,62.01840287726329,74.56959213189107
2,remaining_dev,Drishti_GS,C_SENS,37,89.77479869514293,64.4080646100431,77.09143165259302
2,remaining_dev,Drishti_GS,C_PCA_GLOBAL,37,89.85540904369495,64.3908298728088,77.12311945825186
2,remaining_dev,Drishti_GS,C_PCA_SHUFFLED,37,89.85438445662753,64.37451472068282,77.11444958865518
2,remaining_dev,Drishti_GS,C_PCA_REGION,37,89.74844229965794,65.210776481539,77.47960939059848
2,legacy_dev,REFUGE,C,32,90.46295896515232,82.5743450865223,86.51865202583731
2,legacy_dev,REFUGE,C_PER256,32,87.46231692491264,82.89643147011031,85.17937419751148
2,legacy_dev,REFUGE,C_SENS,32,90.46295896515232,82.5743450865223,86.51865202583731
