order,subset,domain,left,right,channel,dice_n,dice_mean,dice_median,dice_p10,dice_p90,dice_positive,dice_zero,dice_negative,dice_minimum,dice_worst_decile_mean,dice_tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
0,all_dev,Drishti_GS,C_PCA_REGION,C,OD,101,0.18513155862242955,0.19764613798187725,-0.04176730888797442,0.3878038308982146,86,0,15,-0.39476339149540074,-0.1698111565687504,11,101,0,0,0,-0.2259163217494519,-0.23550046309760475,0.18052122826845807
0,all_dev,Drishti_GS,C_PCA_REGION,C,OC,101,1.7555098641472509,2.1097662746864754,-1.0090500339508979,3.4433330296236297,84,0,17,-3.359072191469026,-2.2362369659674863,11,101,0,0,0,-1.1465530153043826,-1.3456062275618859,1.9101710516026111
0,all_dev,Drishti_GS,C_PCA_REGION,C,macro,101,0.9703207113848393,1.1425183704677377,-0.5818917668408474,1.884984371306675,85,0,16,-1.4906709132849083,-1.1054906725731566,11,,,,,,,
0,all_dev,Drishti_GS,C_PCA_REGION,C_PCA_GLOBAL,OD,101,-0.01061778537897572,-0.009871825569240933,-0.11779579829459541,0.08941547485061818,46,0,55,-0.33892352614356414,-0.1768404674109446,11,101,0,0,0,-0.013453128586370688,0.00031828390919841354,0.19252080296382337
0,all_dev,Drishti_GS,C_PCA_REGION,C_PCA_GLOBAL,OC,101,2.2961344859887958,2.6647043246686875,-1.2073251970618704,4.3846802501799615,85,0,16,-3.915329301356596,-2.3975592329782596,11,101,0,0,0,-1.4227524621729157,-1.6562613189063242,2.008813953013857
0,all_dev,Drishti_GS,C_PCA_REGION,C_PCA_GLOBAL,macro,101,1.14275835030491,1.3110093420771185,-0.6479517536123636,2.1902819903256043,84,0,17,-1.9324587156948847,-1.2012016088531026,11,,,,,,,
0,all_dev,Drishti_GS,C_PCA_REGION,C_PCA_SHUFFLED,OD,101,-0.013328909873099216,-0.009286999954005726,-0.11845772974775626,0.08221469044097374,46,0,55,-0.33757206783882054,-0.1763470423066561,11,101,0,0,0,-0.01205389208901426,-0.0007015735566380243,0.17786037859735246
0,all_dev,Drishti_GS,C_PCA_REGION,C_PCA_SHUFFLED,OC,101,2.2995549010215175,2.663664243199837,-1.196311189002075,4.37842244518018,85,0,16,-3.9134064146432834,-2.4107958851514404,11,101,0,0,0,-1.4264264658555836,-1.6732371563472288,2.032763271394245
0,all_dev,Drishti_GS,C_PCA_REGION,C_PCA_SHUFFLED,macro,101,1.1431129955742088,1.3211952227552004,-0.6573844593749212,2.1838025292090446,84,0,17,-1.9387239336248085,-1.212789018734202,11,,,,,,,
0,all_dev,Drishti_GS,C_PCA_SHUFFLED,C,OD,101,0.19846046849552867,0.2333682008222926,-0.030711974409303178,0.39472025715394654,87,0,14,-0.45846499366933857,-0.21072462233679978,11,101,0,0,0,-0.2138624296604376,-0.24736387227881362,0.23407055766816368
