stream,control,channel,domain,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
1,R_SCALE,OD,Drishti_GS,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.2238782696765246,0.21678392966063598,0.06339734846547174,0.38063722788243404,-0.011456945873177915,0.03337749791937483,4,36,1,0,0.25,0.22387826967652463,0.05596956741913116,0.05604697921557155,-7.741179644039132e-05,0.02798478370956558,0.01399239185478279,
1,R_SCALE,OD,ORIGA,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.31386143268487576,0.33996762913999845,-1.5465952607259084,2.1368371186101385,-4.372402378379604,-2.2813538140021343,59,350,236,0,0.25,0.31386143268487576,0.07846535817121894,0.18588873202095513,-0.10742337384973617,0.03923267908560947,0.019616339542804735,
1,R_SCALE,OD,ORIGA,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.0047140771359891484,0.00245048637216172,-0.014851761938530217,0.022382872411498056,-0.08386363250116347,-0.02815137724854653,59,344,241,1,0.25,0.0047140771359891484,0.0011785192839972871,0.002263332196608671,-0.001084812912611384,0.0005892596419986436,0.0002946298209993218,
1,R_SCALE,OD,ORIGA,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.3185755098208649,0.3397221469605185,-1.5514901344546956,2.1467212575162335,-4.383320977126999,-2.2659054163442427,59,350,236,0,0.25,0.3185755098208649,0.07964387745521623,0.1860687661891568,-0.10642488873394057,0.039821938727608114,0.019910969363804057,
1,R_SCALE,OD,REFUGE,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.8343209815672162,0.7665626567404473,-1.2020122877746289,2.882456247625491,-2.865960058742246,-1.7901884497631912,34,220,116,0,0.25,0.8343209815672161,0.20858024539180403,0.28802774704742795,-0.07944750165562393,0.10429012269590202,0.05214506134795101,
1,R_SCALE,OD,REFUGE,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.000689605653694184,-0.0008418549067314984,-0.011840159225606328,0.010994556613184159,-0.035934133668376944,-0.01793304612970684,34,152,181,3,0.25,-0.0006896056536941839,-0.00017240141342354597,0.0008234578355452504,-0.0009958592489687963,-8.620070671177299e-05,-4.310035335588649e-05,
1,R_SCALE,OD,REFUGE,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.833631375913522,0.7748976716820408,-1.2039610463741255,2.8895594863428045,-2.8482827958324037,-1.788237719221713,34,219,117,0,0.25,0.833631375913522,0.2084078439783805,0.28781508322849536,-0.07940723925011486,0.10420392198919025,0.052101960994595124,
1,R_SCALE,OD,REFUGE_Valid,delta_pre,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,3.1904393778025484,2.69144940823994,-0.21820574577341745,7.4058709456327065,-5.2605841472952335,-0.6106026540614181,74,624,112,0,0.25,3.1904393778025484,0.7976098444506371,0.8145274528342245,-0.016917608383587412,0.39880492222531855,0.19940246111265927,
1,R_SCALE,OD,REFUGE_Valid,delta_step,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,0.010337189508838324,0.01289061853351825,-0.019587055532440445,0.041614806860863496,-0.31390901942427263,-0.0675254541865423,74,533,203,0,0.25,0.010337189508838324,0.002584297377209581,0.004634363120850919,-0.002050065743641339,0.0012921486886047905,0.0006460743443023953,
1,R_SCALE,OD,REFUGE_Valid,delta_post,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,3.2007765673113866,2.706327052601978,-0.22778039413014284,7.398061051865405,-5.262629254857117,-0.6101414037348439,74,623,113,0,0.25,3.2007765673113866,0.8001941418278467,0.8171112948413081,-0.016917153013461396,0.4000970709139233,0.20004853545696166,
1,R_SCALE,OC,Drishti_GS,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.10575308459915952,0.07576359138757027,-0.051307574181370795,0.3195057456503178,-0.4107759995956002,-0.1823490732168498,4,30,7,0,0.25,0.10575308459915952,0.02643827114978988,0.03196152655473006,-0.0055232554049401755,0.01321913557489494,0.00660956778744747,
1,R_SCALE,OC,Drishti_GS,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-0.0003206743942899218,0.007736074626905065,-0.05530821824015817,0.04416741869207925,-0.07788387663962482,-0.06825458658292405,4,20,17,0,0.25,-0.0003206743942899221,-8.016859857248053e-05,0.0035536520529816946,-0.003633820651554175,-4.0084299286240265e-05,-2.0042149643120133e-05,
1,R_SCALE,OC,Drishti_GS,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.1054324102048696,0.0904654884198095,-0.05713417148551514,0.3301976583126872,-0.38367957633852257,-0.19617713981787688,4,29,8,0,0.25,0.10543241020486961,0.026358102551217403,0.03269180503968359,-0.006333702488466185,0.013179051275608701,0.006589525637804351,
1,R_SCALE,OC,ORIGA,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.2355231216265951,-0.19630367595198805,-3.2317746048933707,2.742306602944872,-6.380090747187708,-4.166295295620067,59,278,308,0,0.25,-0.2355231216265951,-0.05888078040664878,0.21751096167032563,-0.2763917420769744,-0.02944039020332439,-0.014720195101662194,
1,R_SCALE,OC,ORIGA,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.003419892212236984,0.0025253662086299755,-0.0357919339524031,0.04070591629775322,-0.930857123068364,-0.08870092895765624,59,316,269,1,0.25,0.003419892212236984,0.000854973053059246,0.004169484708314867,-0.003314511655255621,0.000427486526529623,0.0002137432632648115,
