stream,control,channel,domain,block_type,block,phase,first_visit,all_arrivals,prior_domain_exposures,domain_occurrence,gap_since_domain_visit,is_switch_segment,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,R_SCALE,OD,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.0027627308806891853,0.000691938221606847,-0.013670813957013195,0.02099586749432092,-0.515050483036319,-0.042233912147880096,59,316,270,0,0.25,0.0027627308806891853,0.0006906827201722963,0.00222903568447978,-0.0015383529643074837,0.00034534136008614817,0.00017267068004307408,
0,R_SCALE,OD,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.021433456596669193,0.02318775950556784,-0.6459489889787449,0.6419676645157111,-2.241645481231643,-1.0478436508194904,59,304,282,0,0.25,0.021433456596669193,0.005358364149167298,0.054336022446810496,-0.0489776582976432,0.002679182074583649,0.0013395910372918246,
0,R_SHUFFLE,OD,ORIGA,segment,2,all,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.07659736652058438,-0.04553747778680872,-0.7427686421572943,0.4775717270215125,-2.470012505327986,-1.1993555179489899,59,269,317,0,0.25,-0.07659736652058438,-0.019149341630146095,0.03901685505689316,-0.058166196687039255,-0.009574670815073048,-0.004787335407536524,
0,R_SHUFFLE,OD,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.003227347339995727,0.0010149264530241453,-0.013319137288618776,0.01885183475503993,-0.4388928935536853,-0.03820246887196737,59,319,264,3,0.25,0.003227347339995727,0.0008068368349989318,0.0021946261905138333,-0.0013877893555149018,0.0004034184174994659,0.00020170920874973294,
0,R_SHUFFLE,OD,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.07337001918058866,-0.04294948430622725,-0.7541861015062352,0.4780292722423596,-2.422164676394928,-1.1778205394313834,59,272,314,0,0.25,-0.07337001918058866,-0.018342504795147166,0.03887265450598148,-0.057215159301128644,-0.009171252397573583,-0.0045856261987867915,
0,C,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.5442197072873001,0.48164414065282557,-2.3242203409118645,3.2710568215792932,-7.095399705907653,-3.5575500425329056,59,357,229,0,0.25,0.5442197072873001,0.13605492682182502,0.28978619518250226,-0.15373126836067721,0.06802746341091251,0.034013731705456254,
0,C,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.0025313507623069584,0.0039732308781381676,-0.03510116279002773,0.04016714803768906,-3.345073598054796,-0.14561290029879348,59,325,261,0,0.25,-0.002531350762306958,-0.0006328376905767395,0.004339873809554318,-0.0049727115001310575,-0.00031641884528836974,-0.00015820942264418487,
0,C,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.541688356524993,0.5174091170075172,-2.349826378734747,3.2517803696935204,-6.762191606812195,-3.5552681881364667,59,360,226,0,0.25,0.5416883565249931,0.13542208913124829,0.28903755395360536,-0.15361546482235708,0.06771104456562414,0.03385552228281207,
0,R_SCALE,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.06064692288762141,0.05037926176370888,-1.0923267345409045,1.1612410480852766,-3.5495553622920255,-1.5586867129870046,59,310,276,0,0.25,0.06064692288762141,0.015161730721905353,0.10061546835272038,-0.08545373763081503,0.007580865360952677,0.0037904326804763383,
0,R_SCALE,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.001267577358478044,0.0018753596113398885,-0.0333556434569644,0.034138571549210184,-1.925768987849544,-0.1088808048552694,59,308,277,1,0.25,-0.0012675773584780439,-0.00031689433961951097,0.0035937839895620024,-0.0039106783291815135,-0.00015844716980975549,-7.922358490487774e-05,
