contrast,control,domain,channel,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
1-0,C,REFUGE,OD,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.00011243114357289181,-0.00016912051145112628,-0.024975874012262977,0.02398047905845857,-0.10028037182439675,-0.04314046869731774,34,166,170,0,0.25,0.00011243114357289169,2.8107785893222922e-05,0.0021562072206028717,-0.002128099434709649,1.4053892946611461e-05,,
1-0,C,REFUGE,OD,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.12942315678436597,-0.1989438865501043,-0.8173534758737233,0.6901622735404445,-1.533381284624852,-1.0193986165016606,34,122,214,0,0.25,-0.12942315678436597,-0.03235578919609149,0.04686294697673092,-0.07921873617282241,-0.016177894598045747,,
1-0,C,REFUGE_Valid,OD,delta_pre,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,6.984015088702218,6.736736219041834,3.4796264290626198,10.963535703378806,-4.556076149052942,2.2359367899713183,74,732,4,0,0.25,6.984015088702218,1.7460037721755546,1.7491347032785167,-0.0031309311029622438,0.8730018860877773,,
1-0,C,REFUGE_Valid,OD,delta_step,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,0.007525412607727081,0.010312074389844383,-0.026419025189746037,0.047288881846881736,-0.48628567171222414,-0.1003890035240674,74,495,241,0,0.25,0.007525412607727081,0.0018813531519317702,0.005020243601910591,-0.0031388904499788203,0.0009406765759658851,,
1-0,C,REFUGE_Valid,OD,delta_post,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,6.991540501309945,6.713908845426573,3.5174881076657236,10.990789806802375,-4.565232287520459,2.2500217069646156,74,732,4,0,0.25,6.991540501309945,1.7478851253274863,1.7510305144845193,-0.0031453891570330733,0.8739425626637431,,
1-0,C,ALL,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.868447595278768,1.1428450327955915,-2.9265382762066223,7.895848582093493,-12.123986622327603,-4.244546037561513,170,998,697,0,1.0,-0.0832693009493843,-0.0832693009493843,1.8298040245656488,-1.913073325515033,-0.04163465047469215,,
1-0,C,ALL,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.004484502225252631,0.003565862684403953,-0.04769093943307325,0.0491713608434836,-0.3458768835265573,-0.08399420643172154,170,915,780,0,1.0,0.0026908100834322187,0.0026908100834322187,0.018384516279197696,-0.01569370619576548,0.0013454050417161093,,
1-0,C,ALL,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.8729320975040207,1.1366903424625718,-2.927363653162172,7.905798173839253,-10.997087499898463,-4.22549466787734,170,996,699,0,1.0,-0.08057849086595203,-0.08057849086595203,1.832283332617114,-1.912861823483066,-0.04028924543297602,,
1-0,C,Drishti_GS,OC,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-4.067235940504688,-5.67050816310033,-7.049789136054947,3.7079236523452144,-7.616028243136256,-7.351364381537856,4,6,31,0,0.25,-4.067235940504688,-1.016808985126172,0.20401948630049757,-1.2208284714266695,-0.508404492563086,,
1-0,C,Drishti_GS,OC,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.0013726899870026212,-0.0005413540587433374,-0.04842602898262953,0.04952072887594738,-0.06627053979103437,-0.05419142503057728,4,18,19,0,0.25,0.0013726899870026216,0.0003431724967506554,0.004158070394593834,-0.0038148978978431785,0.0001715862483753277,,
1-0,C,Drishti_GS,OC,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-4.065863250517685,-5.62214807159264,-7.034090034050207,3.6974351571380533,-7.578674868215295,-7.327938110061357,4,6,31,0,0.25,-4.065863250517685,-1.0164658126294213,0.20392054630707046,-1.2203863589364918,-0.5082329063147106,,
1-0,C,ORIGA,OC,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.8526945129623019,-0.9903144442790506,-3.283574308966557,1.777525969103717,-12.123986622327603,-4.2661742150524775,59,200,386,0,0.25,-0.8526945129623019,-0.21317362824057548,0.12685486271532267,-0.34002849095589815,-0.10658681412028774,,
1-0,C,ORIGA,OC,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.0033400723235668542,-0.0007240627632185692,-0.056163064391128614,0.0533794866802495,-0.3458768835265573,-0.11007291954955407,59,287,299,0,0.25,0.0033400723235668547,0.0008350180808917137,0.005803860827931643,-0.004968842747039929,0.00041750904044585683,,
1-0,C,ORIGA,OC,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.8493544406387351,-0.9891165202234085,-3.2723248282621356,1.7803804561556937,-9.182474915820055,-4.208052708952391,59,198,388,0,0.25,-0.8493544406387351,-0.21233861015968378,0.12690046033999536,-0.33923907049967916,-0.10616930507984189,,
1-0,C,REFUGE,OC,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-1.1031534915884422,-1.1810811273473831,-3.133774239999134,0.8953594309158248,-4.739001546721624,-3.7226634465664605,34,76,260,0,0.25,-1.1031534915884422,-0.27578837289711056,0.05652678869301322,-0.33231516159012375,-0.13789418644855528,,
1-0,C,REFUGE,OC,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.0028500188390715494,-0.0008350135846342255,-0.05946288795482957,0.044552929593933754,-0.1615935216452442,-0.08676926348951372,34,165,171,0,0.25,-0.0028500188390715494,-0.0007125047097678873,0.003739526106121234,-0.004452030815889122,-0.0003562523548839437,,
1-0,C,REFUGE,OC,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-1.1060035104275137,-1.1554957040059861,-3.18359519790706,0.9063328885067321,-4.742925235617747,-3.725811045831669,34,76,260,0,0.25,-1.1060035104275137,-0.2765008776068784,0.056887224477307,-0.3333881020841854,-0.1382504388034392,,
1-0,C,REFUGE_Valid,OC,delta_pre,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,5.690006741257895,5.682760449814992,2.729139488939065,9.287748416721154,-11.005851010590533,0.6144683372568694,74,716,20,0,0.25,5.6900067412578945,1.4225016853144736,1.4424028868568153,-0.019901201542341547,0.7112508426572368,,
1-0,C,REFUGE_Valid,OC,delta_step,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,0.008900496862230947,0.0075056574368375095,-0.035115239593110914,0.05136875710905997,-0.21760645211865182,-0.05840061833620276,74,445,291,0,0.25,0.008900496862230947,0.002225124215557737,0.0046830589505509855,-0.0024579347349932483,0.0011125621077788684,,
1-0,C,REFUGE_Valid,OC,delta_post,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,5.698907238120126,5.715169163537272,2.735140918922575,9.276707806821602,-10.997087499898463,0.6311347645161,74,716,20,0,0.25,5.698907238120126,1.4247268095300314,1.444575101492741,-0.019848291962709687,0.7123634047650157,,
1-0,C,ALL,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,2.2615740249689265,0.724288377714025,-2.1607867543746764,8.537752743464388,-7.780963579821737,-3.086934040079201,170,973,722,0,1.0,0.5156614284700445,0.5156614284700445,1.810063678959779,-1.2944022504897346,0.5156614284700445,,
