stream,control,channel,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,R_SHUFFLE,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0006075122576070935,-8.14557525075088e-06,-0.017103576935417662,0.017020550289849723,-0.4388928935536853,-0.03431504182551321,170,840,852,3,1.0,-0.00020206297239046774,-0.00020206297239046774,0.005433701273053411,-0.0056357642454438785,-0.00010103148619523387,-5.0515743097616935e-05,
0,R_SHUFFLE,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.3669837114858628,-0.25406756053793345,-1.1320744568684291,0.2601340046479209,-3.3992425270563587,-1.7308350034849516,170,483,1212,0,1.0,-0.34606312708187875,-0.34606312708187875,0.06296365553726849,-0.4090267826191472,-0.17303156354093938,-0.08651578177046969,
0,R_SHUFFLE,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.010232475324038226,-0.10584480900990911,-0.7281342330114896,0.8481716098489276,-3.2695008097176697,-1.2259185448559096,170,649,1043,3,1.0,0.08791880870518115,0.08791880870518115,0.3135877408820906,-0.22566893217690945,0.043959404352590575,0.021979702176295288,
0,R_SHUFFLE,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.00012148999307692531,0.0001783994242572362,-0.027015908450226788,0.028111229835602127,-1.9772050328599988,-0.06820833339809725,170,885,798,12,1.0,0.0017382493758817791,0.0017382493758817791,0.01123017008148346,-0.009491920705601682,0.0008691246879408896,0.0004345623439704448,
0,R_SHUFFLE,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.010353965317115152,-0.10373196711066157,-0.723697887773261,0.8463632036615373,-2.9636026810710234,-1.2256430700728684,170,659,1033,3,1.0,0.08965705808106293,0.08965705808106293,0.3141410783876259,-0.224484020306563,0.044828529040531466,0.022414264520265733,
0,R_SHUFFLE,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.18891184953375406,-0.17918995133756255,-0.742228532195574,0.3864479050717991,-2.710958563915085,-1.1556331120136896,170,582,1112,1,1.0,-0.12897112770215358,-0.12897112770215358,0.12589415792153727,-0.2548652856236908,-0.12897112770215358,-0.06448556385107679,
0,R_SHUFFLE,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0002430111322650841,0.0005937139937586267,-0.016558662598160367,0.017322878704044344,-0.9101259672519717,-0.03999189145550358,170,890,805,0,1.0,0.0007680932017456557,0.0007680932017456557,0.006654878571368714,-0.005886785369623058,0.0007680932017456557,0.00038404660087282787,
0,R_SHUFFLE,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.18866883840148896,-0.18142634311178796,-0.7379272667673958,0.3915057507594859,-2.740169139062104,-1.150960485548173,170,581,1114,0,1.0,-0.1282030345004079,-0.1282030345004079,0.12569560822520573,-0.25389864272561363,-0.1282030345004079,-0.06410151725020395,
1,C,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.5630640897791559,0.10293614847536503,-0.7526541693520926,2.97721768345121,-4.167415666179565,-1.3116795730037443,170,959,736,0,1.0,0.3978876521381739,0.3978876521381739,0.5839530522101557,-0.18606540007198175,0.19894382606908695,0.09947191303454347,
1,C,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0032728887216620915,0.0025236045492391668,-0.01740438430040285,0.02786078512498308,-0.45105411820922825,-0.052832387173287206,170,989,706,0,1.0,0.0030612915443642987,0.0030612915443642987,0.008807478278434054,-0.005746186734069757,0.0015306457721821494,0.0007653228860910747,
