assd,assd_undefined,assd_valid,channel,dice,domain,job,method,n,order,seed
12.594315472148052,0,336,OD,0.8640608252974814,REFUGE,B_FULL_20260924_order0,B_FULL,336,0,20260924
9.49338675268515,0,736,OC,0.7499881619540592,REFUGE_Valid,B_FULL_20260924_order0,B_FULL,736,0,20260924
19.5929614518334,0,736,OD,0.8629083357058959,REFUGE_Valid,B_FULL_20260924_order0,B_FULL,736,0,20260924
33.77472538177639,0,37,OC,0.4870050485534283,Drishti_GS,B_FULL_20260924_order1,B_FULL,37,1,20260924
17.23788842348326,0,37,OD,0.8396982454620501,Drishti_GS,B_FULL_20260924_order1,B_FULL,37,1,20260924
27.370342379265736,0,586,OC,0.4981354175878633,ORIGA,B_FULL_20260924_order1,B_FULL,586,1,20260924
26.979352556557064,0,586,OD,0.7463490962960775,ORIGA,B_FULL_20260924_order1,B_FULL,586,1,20260924
8.961434987199032,0,336,OC,0.794035812850501,REFUGE,B_FULL_20260924_order1,B_FULL,336,1,20260924
12.59748449313439,0,336,OD,0.864022036648592,REFUGE,B_FULL_20260924_order1,B_FULL,336,1,20260924
9.49437700536489,0,736,OC,0.7499775219813841,REFUGE_Valid,B_FULL_20260924_order1,B_FULL,736,1,20260924
19.5930201067494,0,736,OD,0.8629066632020304,REFUGE_Valid,B_FULL_20260924_order1,B_FULL,736,1,20260924
33.31725378996285,0,37,OC,0.49702958807546266,Drishti_GS,B_FULL_20260925_order0,B_FULL,37,0,20260925
16.97013483534043,0,37,OD,0.8426568401713633,Drishti_GS,B_FULL_20260925_order0,B_FULL,37,0,20260925
27.01015387918138,0,586,OC,0.5081708457070359,ORIGA,B_FULL_20260925_order0,B_FULL,586,0,20260925
26.711406385051074,0,586,OD,0.749585515773359,ORIGA,B_FULL_20260925_order0,B_FULL,586,0,20260925
8.622941412979893,0,336,OC,0.8022228582835862,REFUGE,B_FULL_20260925_order0,B_FULL,336,0,20260925
12.440549801957378,0,336,OD,0.8664519165545739,REFUGE,B_FULL_20260925_order0,B_FULL,336,0,20260925
9.57051244548541,0,736,OC,0.7483175679922824,REFUGE_Valid,B_FULL_20260925_order0,B_FULL,736,0,20260925
19.035860357970176,0,736,OD,0.8632591753718811,REFUGE_Valid,B_FULL_20260925_order0,B_FULL,736,0,20260925
33.30193627856369,0,37,OC,0.49732565765196696,Drishti_GS,B_FULL_20260925_order1,B_FULL,37,1,20260925
16.969077796340102,0,37,OD,0.8426701118700508,Drishti_GS,B_FULL_20260925_order1,B_FULL,37,1,20260925
27.011185795748126,0,586,OC,0.5081388743300406,ORIGA,B_FULL_20260925_order1,B_FULL,586,1,20260925
26.711956119426763,0,586,OD,0.7495818710884427,ORIGA,B_FULL_20260925_order1,B_FULL,586,1,20260925
8.630336583965924,0,336,OC,0.80207937002196,REFUGE,B_FULL_20260925_order1,B_FULL,336,1,20260925
12.441284874909375,0,336,OD,0.8664302900509157,REFUGE,B_FULL_20260925_order1,B_FULL,336,1,20260925
9.57114851527706,0,736,OC,0.748307853626052,REFUGE_Valid,B_FULL_20260925_order1,B_FULL,736,1,20260925
19.03558201346523,0,736,OD,0.8632593273315975,REFUGE_Valid,B_FULL_20260925_order1,B_FULL,736,1,20260925
33.28206812749897,0,37,OC,0.49657380505267623,Drishti_GS,B_STATIC_20260924_order0,B_STATIC,37,0,20260924
17.121450939832023,0,37,OD,0.8409846257958405,Drishti_GS,B_STATIC_20260924_order0,B_STATIC,37,0,20260924
27.008057402771236,0,586,OC,0.5086718857457757,ORIGA,B_STATIC_20260924_order0,B_STATIC,586,0,20260924
26.846724237870742,0,586,OD,0.7479272016991781,ORIGA,B_STATIC_20260924_order0,B_STATIC,586,0,20260924
8.787178518480587,0,336,OC,0.7982200546195355,REFUGE,B_STATIC_20260924_order0,B_STATIC,336,0,20260924
12.455976792935505,0,336,OD,0.865528220892156,REFUGE,B_STATIC_20260924_order0,B_STATIC,336,0,20260924
9.802634603707281,0,736,OC,0.7441668804141525,REFUGE_Valid,B_STATIC_20260924_order0,B_STATIC,736,0,20260924
19.361936950530925,0,736,OD,0.8629605153885175,REFUGE_Valid,B_STATIC_20260924_order0,B_STATIC,736,0,20260924
33.28206812749897,0,37,OC,0.49657380505267623,Drishti_GS,B_STATIC_20260924_order1,B_STATIC,37,1,20260924
17.121450939832023,0,37,OD,0.8409846257958405,Drishti_GS,B_STATIC_20260924_order1,B_STATIC,37,1,20260924
27.008057402771236,0,586,OC,0.5086718857457757,ORIGA,B_STATIC_20260924_order1,B_STATIC,586,1,20260924
26.846724237870742,0,586,OD,0.7479272016991781,ORIGA,B_STATIC_20260924_order1,B_STATIC,586,1,20260924
8.787178518480587,0,336,OC,0.7982200546195355,REFUGE,B_STATIC_20260924_order1,B_STATIC,336,1,20260924
12.455976792935505,0,336,OD,0.865528220892156,REFUGE,B_STATIC_20260924_order1,B_STATIC,336,1,20260924
9.802634603707281,0,736,OC,0.7441668804141525,REFUGE_Valid,B_STATIC_20260924_order1,B_STATIC,736,1,20260924
19.361936950530925,0,736,OD,0.8629605153885175,REFUGE_Valid,B_STATIC_20260924_order1,B_STATIC,736,1,20260924
32.79587236987889,0,37,OC,0.5072647054874716,Drishti_GS,B_STATIC_20260925_order0,B_STATIC,37,0,20260925
16.902013701970166,0,37,OD,0.8434240118107869,Drishti_GS,B_STATIC_20260925_order0,B_STATIC,37,0,20260925
26.834539769701042,0,586,OC,0.5135825078846551,ORIGA,B_STATIC_20260925_order0,B_STATIC,586,0,20260925
26.666842253097414,0,586,OD,0.7501340675403757,ORIGA,B_STATIC_20260925_order0,B_STATIC,586,0,20260925
8.485541852952295,0,336,OC,0.8057861726705737,REFUGE,B_STATIC_20260925_order0,B_STATIC,336,0,20260925
12.384339248472244,0,336,OD,0.8674632593435238,REFUGE,B_STATIC_20260925_order0,B_STATIC,336,0,20260925
9.713303403548418,0,736,OC,0.7457641686552512,REFUGE_Valid,B_STATIC_20260925_order0,B_STATIC,736,0,20260925
19.07497879935828,0,736,OD,0.8631388777746628,REFUGE_Valid,B_STATIC_20260925_order0,B_STATIC,736,0,20260925
32.79587236987889,0,37,OC,0.5072647054874716,Drishti_GS,B_STATIC_20260925_order1,B_STATIC,37,1,20260925
16.902013701970166,0,37,OD,0.8434240118107869,Drishti_GS,B_STATIC_20260925_order1,B_STATIC,37,1,20260925
26.834539769701042,0,586,OC,0.5135825078846551,ORIGA,B_STATIC_20260925_order1,B_STATIC,586,1,20260925
26.666842253097414,0,586,OD,0.7501340675403757,ORIGA,B_STATIC_20260925_order1,B_STATIC,586,1,20260925
8.485541852952295,0,336,OC,0.8057861726705737,REFUGE,B_STATIC_20260925_order1,B_STATIC,336,1,20260925
